date,danger,risk,death
1957,5.498665281041022,5.392257378036537,5.459666225302221
1958,5.475461368653427,5.388063146305975,5.4602258725752435
1959,5.4862862541547,5.3506983261097005,5.470645120710595
1960,5.467946804404163,5.340700319118073,5.470091484260341
1961,5.465831508460795,5.421938705416113,5.451857573409108
1962,5.46250375381569,5.368205953128265,5.454322377558376
1963,5.494106589768225,5.357418614144296,5.474021716877427
1964,5.466403714966687,5.413463021837695,5.465991967871501
1965,5.467760392825916,5.363980539288821,5.470595576500255
1966,5.484326611796993,5.3534276921822785,5.466771755094998
1967,5.4831965949204315,5.381331356389113,5.48812022895086
1968,5.487698780327259,5.352489995916703,5.457306064717923
1969,5.48265373042677,5.376676176422366,5.470399313514603
1970,5.48327678827236,5.399561221745916,5.471615914839207
1971,5.494820666874743,5.3403059056790845,5.474393124510165
1972,5.4846584997691945,5.364049429402856,5.460377181147454
1973,5.482406748598547,5.377700571776657,5.461877814026503
1974,5.476687865077253,5.334213831670932,5.464232438576252
1975,5.473056719022702,5.301353496892841,5.4413547905471376
1976,5.483991605488021,5.3387288940783195,5.470771743067797
1977,5.4809049673473025,5.347987513511879,5.479970727282347
1978,5.487032878051759,5.316146377114225,5.4688278701452
1979,5.506588985132877,5.311924480721988,5.457776751724928
1980,5.5122090534736525,5.278354862692251,5.460631350688242
1981,5.493390004481653,5.2794384998961,5.4679629377113494
1982,5.475982438797464,5.257584262136109,5.461043887438701
1983,5.478911069492948,5.2996517166047745,5.4670437669711305
1984,5.487608689948343,5.2469612502475265,5.469720186113084
1985,5.471657194994778,5.210821438667598,5.454320548912492
1986,5.49078569832957,5.217616835233893,5.446401858735266
1987,5.5025204745593985,5.229826122851265,5.439383329049849
1988,5.508649712204864,5.255640818876568,5.463736898253668
1989,5.514028764390941,5.217871280458654,5.456141513691145
1990,5.5196456246651024,5.212309453377742,5.448579490069594
1991,5.51789096369219,5.214921910803462,5.450369700397791
1992,5.558050343578989,5.21618215423294,5.462702749994161
1993,5.54358734738035,5.203860797097639,5.447509518674577
1994,5.540842413098347,5.178585754297093,5.44381992741398
1995,5.544360113377634,5.201548546436412,5.442581689836048
1996,5.542450710946559,5.173079573916956,5.4391976955286445
1997,5.557842022509829,5.160049002060611,5.440460378950995
1998,5.539870760968407,5.192609823671462,5.434400885370125
1999,5.554823888451207,5.157173436271696,5.438106512155608
2000,5.551276163852459,5.163441864613954,5.442380765310346
2001,5.546115311512987,5.174305726313743,5.421227272586197
2002,5.56508152577376,5.174894518933117,5.420579263225337
2003,5.555344314141919,5.181462029190911,5.420380306596197
2004,5.563007775092901,5.158336745064518,5.416744195480062
2005,5.568162193039013,5.174199970950886,5.414705335735786
2006,5.550574096912975,5.189773131455226,5.382979616181123
2007,5.559972230236563,5.220540059573162,5.425466431323208
2008,5.549043636664731,5.257608208471976,5.430351463278307
