date,war,hiv
1949,0.00392656702917172,0.0
1950,0.003822933817823956,0.0
1951,0.003973916656129766,0.0
1952,0.0038088959695288323,0.0
1953,0.003588584882374162,0.0
1954,0.003864734299516908,0.0
1955,0.004183228897259204,0.0
1956,0.0041965350010613805,0.0
1957,0.003026768444831608,0.0
1958,0.003113250112798917,0.0
1959,0.004071784044638818,0.0
1960,0.004647778730982658,0.0
1961,0.004494981427329487,0.0
1962,0.005275231577826604,0.0
1963,0.0061958459236099855,0.0
1964,0.0051115069204794245,0.0
1965,0.004964027026369366,0.0
1966,0.005510298300743146,1.489269811011661e-05
1967,0.005493760657538938,0.0
1968,0.004207764563196911,0.0
1969,0.0039829008896158785,1.2161529433941613e-05
1970,0.0035421457273593013,0.0
1971,0.003399253434993249,0.0
1972,0.00385456666504642,0.0
1973,0.003032766065532131,0.000127000254000508
1974,0.002281062918530087,4.732495681597691e-06
1975,0.0026410923159163185,3.624140399199065e-05
1976,0.002090158591308809,2.9438853398715625e-05
1977,0.001509617725833942,3.7459496918956378e-06
1978,0.001660683853656768,0.0
1979,0.0015788091268300482,3.42598725532741e-05
1980,0.001343798490486449,5.423401979541723e-05
1981,0.0016229554508818153,0.0
1982,0.0017491599264198435,2.509555131161899e-06
1983,0.0018236252327080052,6.712730917943577e-06
1984,0.0018149724846848719,1.2459765341086076e-05
1985,0.001935434369784973,3.644524581359216e-05
1986,0.0019119069868808178,0.0001585000610885652
1987,0.0017775753600184894,0.00027190445277529475
1988,0.0015793633791580176,0.001220350001108066
1989,0.0013763891847626108,0.0019864270043408135
1990,0.0011466501259091032,0.001718739574503839
1991,0.0010007227442041474,0.0028214821815755824
1992,0.000850063950792609,0.0031594603493886033
1993,0.0007279802666144243,0.0030254592731773777
1994,0.0006118530708694644,0.0029039045432488054
1995,0.0005655392077021916,0.0034737680293899413
1996,0.0005638271519472471,0.003271198357895123
1997,0.0005122996069425429,0.003326735535365134
1998,0.00043123267057725267,0.0027525044934583608
1999,0.0005131499704235363,0.002571109120738293
2000,0.0004948267836678407,0.0018690793765661776
2001,0.0004390698330377738,0.0017887826196658111
2002,0.000392482652217527,0.0018466875104337845
2003,0.000382219655391113,0.0017600705799817882
2004,0.000308709471091475,0.0016315151674594732
2005,0.00043035742875991367,0.0015031039627894241
2006,0.00034743775010906837,0.001515099614505959
2007,0.0004070193522247909,0.001471674730093663
2008,0.00044657569754309306,0.0012027179648590102
